donorCount,apolarsurfacearea,PSA,atomCount,hydrogenCount,wienerindex,DrugOrNonDrug
14,429.8,309.14,87,43,7413,1
2,104.25,125.64,19,6,257,1
4,189.6,113.52,32,13,657,1
3,393.89,94.83,57,29,1682,1
2,79.35,74.69,14,4,105,1
0,319.69,43.07,35,13,926,1
2,339.2,29.46,41,23,711,1
1,187.77,26.0,28,17,124,1
4,174.51,47.89,23,8,368,1
2,162.35,37.3,22,13,114,1
0,573.87,53.03,60,29,2897,1
0,384.83,13.59,44,23,882,1
2,444.77,61.83,53,25,1836,1
2,418.46,46.71,47,22,1580,1
1,185.9,26.0,23,13,126,1
3,547.91,111.87,70,35,3813,1
0,334.82,78.29,41,19,1015,1
2,286.89,54.05,37,17,680,1
2,506.88,93.59,58,21,4275,1
5,521.18,122.84,71,36,3704,1
1,504.03,53.48,57,27,3204,1
1,570.22,40.64,65,31,4090,1
3,333.31,46.53,41,22,890,1
1,370.09,54.37,45,19,1705,1
1,326.9,60.12,44,23,959,1
2,193.35,74.6,29,16,344,1
0,443.91,48.48,51,24,1795,1
2,224.47,37.3,26,12,318,1
0,401.22,22.82,48,25,1161,1
3,388.46,94.83,57,29,1670,1
2,371.63,103.61,43,14,2378,1
2,556.27,142.0,68,29,4854,1
2,321.88,136.1,44,21,1142,1
1,404.68,30.66,49,28,958,1
2,569.25,72.51,75,41,2624,1
1,320.05,17.07,34,18,454,1
0,430.27,90.34,59,31,2514,1
2,533.0,80.35,70,37,3064,1
0,189.76,61.82,24,10,258,1
2,419.98,118.81,53,20,3326,1
2,169.73,106.76,29,15,297,1
1,206.4,26.3,25,15,139,1
1,375.95,59.29,40,14,1654,1
3,523.29,99.88,67,34,3124,1
1,278.31,48.19,35,14,828,1
1,326.23,39.89,37,19,700,1
0,350.01,26.48,38,19,718,1
0,351.76,52.48,40,19,896,1
1,150.49,26.3,15,4,143,1
3,242.79,90.13,33,16,664,1
2,314.28,71.2,42,18,1234,1
2,531.5,58.35,61,29,3560,1
0,393.9,46.61,45,21,1298,1
4,865.73,193.26,121,69,9201,1
0,288.6,35.53,31,15,468,1
0,530.45,22.82,57,28,2488,1
0,403.18,27.18,45,23,995,1
1,273.81,75.25,32,10,959,1
2,240.92,12.36,23,9,301,1
0,416.92,17.82,42,17,1225,1
1,367.5,39.54,42,19,1082,1
1,317.29,52.28,43,21,824,1
0,365.68,13.59,43,21,928,1
5,459.76,159.82,67,29,4100,1
0,480.88,0.0,56,38,883,1
1,371.88,13.59,42,22,759,1
1,400.27,20.23,53,30,1004,1
3,388.14,94.83,57,29,1670,1
0,340.96,22.82,42,23,602,1
0,305.17,32.67,33,13,726,1
1,187.2,54.88,21,7,268,1
1,450.63,52.78,54,29,1654,1
2,298.05,37.3,30,11,706,1
2,373.9,136.36,47,17,2402,1
2,317.19,40.46,38,18,814,1
2,337.84,40.46,40,20,814,1
3,583.56,137.23,80,37,6191,1
0,442.21,94.73,55,26,2077,1
0,355.88,22.82,40,21,736,1
4,490.54,172.2,76,40,3652,1
4,361.27,60.69,45,23,1346,1
2,464.1,107.86,56,27,3074,1
2,441.49,85.87,54,24,2853,1
3,170.86,40.46,22,11,160,1
2,256.66,113.28,35,16,634,1
1,449.87,106.95,58,25,3556,1
6,449.53,180.05,68,29,4392,1
1,404.88,66.8,50,22,2452,1
1,355.56,37.47,40,19,931,1
1,242.23,20.23,28,16,190,1
2,413.05,94.26,55,28,1982,1
1,286.66,25.95,34,15,587,1
4,189.52,60.69,26,13,256,1
3,566.95,137.23,78,35,6191,1
5,823.93,204.26,118,67,8842,1
2,329.82,40.46,44,24,724,1
1,323.34,37.3,42,22,724,1
1,275.6,63.6,31,12,744,1
1,67.82,20.23,9,6,4,1
2,354.53,40.46,46,24,941,1
1,196.42,89.41,26,10,442,1
3,523.38,160.83,74,32,5464,1
1,394.52,52.6,44,19,1300,1
0,416.96,52.6,46,21,1716,1
0,446.5,33.9,53,28,1680,1
3,606.27,91.35,76,39,5214,1
2,445.22,35.53,48,20,2232,1
1,276.38,81.65,34,12,1000,1
2,81.03,64.07,12,3,84,1
1,390.77,9.23,40,18,1148,1
2,386.38,57.53,53,29,1083,1
1,453.57,86.3,56,26,2618,1
0,444.64,46.26,50,23,1747,1
1,274.68,37.3,31,13,626,1
2,715.07,76.74,88,47,7474,1
2,214.86,37.3,29,17,193,1
2,372.19,80.43,49,22,1627,1
3,206.84,84.58,29,11,560,1
1,331.91,46.53,40,22,705,1
3,517.79,85.89,61,28,3998,1
1,368.45,48.48,47,24,1195,1
2,364.84,71.2,48,22,1499,1
2,221.7,24.72,22,8,331,1
2,277.15,25.95,36,22,352,1
1,425.07,50.89,49,23,2035,1
3,372.96,94.83,56,30,1425,1
1,289.64,60.12,40,19,712,1
1,270.21,37.3,33,18,404,1
3,406.71,77.76,58,32,2018,1
2,567.35,82.92,68,31,5324,1
0,384.39,27.18,45,24,882,1
4,715.89,114.67,92,47,7788,1
1,362.11,68.53,41,16,1424,1
1,475.35,87.13,60,28,3125,1
2,131.46,41.99,17,7,121,1
4,238.33,60.69,32,17,400,1
0,741.27,125.4,87,38,12096,1
1,294.52,17.07,32,16,388,1
0,553.39,89.76,64,28,4692,1
1,272.92,54.37,33,14,724,1
2,173.88,89.65,26,11,369,1
2,233.56,38.67,23,7,417,1
1,335.06,87.08,39,14,1631,1
3,527.84,86.99,71,40,3531,1
1,350.48,33.82,46,25,794,1
1,187.77,47.73,26,14,190,1
1,478.24,74.68,60,29,2806,1
4,166.38,77.76,25,11,321,1
1,323.48,33.82,42,23,578,1
1,332.37,30.66,39,22,556,1
0,214.88,32.3,18,6,174,1
2,392.69,60.04,51,26,1442,1
1,575.41,64.48,67,33,3458,1
2,290.14,49.66,31,10,819,1
2,446.79,90.86,53,23,2665,1
1,467.68,72.83,65,36,2246,1
0,353.76,48.77,41,18,1075,1
4,435.25,105.26,60,31,2362,1
1,382.42,12.0,44,23,810,1
5,372.02,103.7,52,29,1180,1
1,288.43,46.18,33,13,702,1
1,264.03,12.0,33,21,161,1
1,418.1,54.37,57,32,1276,1
2,279.8,42.09,33,16,561,1
1,249.02,26.0,34,21,192,1
0,409.97,88.76,52,26,1604,1
0,436.57,30.66,50,27,1044,1
1,136.05,112.85,22,8,304,1
5,380.93,149.5,55,22,3832,1
2,265.24,38.69,32,17,358,1
1,300.89,26.3,36,19,498,1
2,415.3,55.82,53,27,1586,1
2,369.68,39.89,42,22,902,1
0,425.9,27.05,39,14,1547,1
0,346.46,30.18,36,13,1035,1
1,518.5,50.89,67,35,2590,1
1,200.71,67.89,25,9,425,1
3,202.54,75.49,30,15,358,1
2,480.46,83.83,65,38,2331,1
2,276.91,63.28,40,19,712,1
1,224.77,71.14,29,12,470,1
2,311.9,80.35,45,21,1047,1
2,337.03,80.35,48,23,1189,1
2,381.8,71.9,48,25,1266,1
0,550.39,76.23,65,32,4032,1
4,656.48,113.49,85,45,5398,1
1,502.54,112.01,64,29,3884,1
0,210.75,26.48,26,14,191,1
1,327.04,98.42,43,18,1280,1
1,429.77,107.65,56,26,2290,1
1,400.2,98.42,52,24,1814,1
1,350.87,98.42,46,20,1491,1
1,351.69,37.3,48,26,941,1
2,326.07,71.84,41,18,1116,1
1,376.35,37.3,51,28,1053,1
1,359.98,12.0,41,21,759,1
5,588.4,158.05,80,36,7671,1
1,347.29,94.66,46,20,1484,1
1,331.59,67.78,42,20,958,1
1,389.97,60.12,48,23,1448,1
3,333.88,149.13,51,24,1905,1
1,349.0,96.31,43,19,1419,1
0,344.02,48.48,43,21,997,1
0,382.68,22.82,43,23,825,1
8,498.49,206.6,85,44,5312,1
1,384.59,46.53,52,30,907,1
