DG,exactmass,NumberofCarbons,label
-9.86,645.25,25,1
-11.25,221.99,4,1
-7.53,267.1,10,1
-12.76,408.17,22,1
-6.08,136.04,5,1
-5.9,308.08,17,1
-13.58,249.17,15,1
-6.82,151.14,10,1
-7.64,229.05,6,1
-6.76,131.09,6,1
-8.73,645.02,25,1
-13.33,277.18,20,1
-9.39,408.15,20,1
-10.55,355.15,20,1
-8.7,135.1,9,1
-11.87,505.22,25,1
-6.95,293.16,17,1
-11.53,267.13,17,1
-6.82,534.15,23,1
-10.11,508.25,23,1
-7.67,447.15,23,1
-12.28,458.25,28,1
-10.67,266.16,14,1
-9.85,366.1,22,1
-13.77,289.17,17,1
-5.53,188.1,9,1
-8.08,381.16,22,1
-8.76,213.06,10,1
-12.31,307.19,21,1
-13.36,392.2,22,1
-9.67,430.06,18,1
-11.35,551.18,27,1
-13.49,383.06,12,1
-6.17,288.22,18,1
-6.58,467.3,29,1
-9.23,239.11,13,1
-10.0,385.25,21,1
-7.94,451.29,26,1
-6.3,194.08,8,1
-13.53,440.16,24,1
-12.69,217.08,9,1
-12.31,147.11,6,1
-6.76,381.08,17,1
-12.12,459.24,26,1
-6.82,299.08,16,1
-6.17,270.11,13,1
-12.76,274.12,16,1
-12.08,318.1,17,1
-7.48,168.99,7,1
-5.9,252.12,10,1
-4.39,331.13,17,1
-10.71,465.18,23,1
-12.45,324.16,20,1
-5.47,747.48,38,1
-5.57,242.07,12,1
-12.34,405.19,26,1
-11.69,314.15,19,1
-12.37,315.04,15,1
-11.96,229.02,9,1
-6.47,344.11,22,1
-9.8,326.13,18,1
-8.6,299.15,18,1
-9.44,287.17,21,1
-7.26,527.18,27,1
-7.94,258.3,16,1
-12.97,266.18,18,1
-7.44,310.23,22,1
-9.85,392.2,22,1
-8.35,257.18,17,1
-11.3,284.07,16,1
-6.97,229.99,8,1
-6.17,343.23,20,1
-8.4,295.02,14,1
-11.87,469.03,19,1
-14.35,266.13,18,1
-15.01,268.15,18,1
-12.58,583.28,33,1
-6.25,414.16,22,1
-10.76,255.16,17,1
-13.05,504.32,24,1
-7.69,301.17,18,1
-10.32,441.14,19,1
-11.47,425.16,22,1
-10.67,153.08,8,1
-12.68,324.03,10,1
-12.63,451.19,23,1
-7.05,543.17,27,1
-9.44,379.17,22,1
-11.93,297.12,18,1
-9.96,166.12,10,1
-9.82,376.2,20,1
-10.47,249.13,16,1
-8.77,183.09,9,1
-6.62,581.26,33,1
-6.21,733.46,37,1
-13.33,272.18,18,1
-12.99,270.16,18,1
-6.74,302.01,13,1
-6.62,46.04,2,1
-13.01,296.18,20,1
-12.69,258.01,9,1
-7.17,588.18,29,1
-5.56,383.07,18,1
-7.23,360.11,20,1
-12.75,336.22,22,1
-6.13,501.29,32,1
-7.29,414.14,17,1
-13.44,306.1,13,1
-6.28,130.02,4,1
-12.34,309.13,17,1
-10.04,336.21,20,1
-7.91,437.17,22,1
-10.71,387.15,21,1
-6.84,244.09,15,1
-12.59,606.32,32,1
-2.41,171.13,9,1
-5.3,375.16,19,1
-6.35,263.07,9,1
-7.21,250.16,15,1
-7.77,493.14,23,1
-12.99,312.2,18,1
-6.17,359.16,19,1
-11.46,230.01,8,1
-5.7,198.18,10,1
-12.78,375.14,21,1
-11.63,362.21,21,1
-5.46,285.14,17,1
-4.75,206.13,13,1
-8.96,360.23,22,1
-6.47,493.26,29,1
-12.12,280.19,19,1
-13.53,613.36,36,1
-5.35,357.08,19,1
-4.77,428.23,25,1
-5.4,137.06,6,1
-10.12,211.12,11,1
-8.61,704.24,35,1
-9.82,237.09,13,1
-10.91,530.15,26,1
-6.41,254.09,16,1
-4.5,229.05,8,1
-5.67,255.01,9,1
-12.87,369.08,16,1
-7.75,432.29,26,1
-12.3,283.19,19,1
-3.27,170.11,8,1
-9.96,420.22,26,1
-6.93,197.07,9,1
-12.68,257.18,17,1
-6.17,234.17,14,1
-4.09,287.86,6,1
-12.31,338.21,20,1
-11.57,476.22,29,1
-13.64,320.01,15,1
-11.76,422.16,22,1
-10.5,404.26,24,1
-11.34,327.11,18,1
-13.05,405.23,21,1
-6.82,277.18,20,1
-9.27,331.21,15,1
-12.74,284.07,16,1
-8.18,167.17,11,1
-12.92,344.24,22,1
-13.77,232.12,13,1
-8.55,179.17,12,1
-7.84,386.15,21,1
-12.37,309.21,21,1
-11.12,236.0,5,1
-15.64,454.17,20,1
-7.12,211.12,11,1
-11.63,233.14,14,1
-12.54,353.21,21,1
-9.44,299.14,14,1
-6.35,413.99,18,1
-11.24,325.08,18,1
-13.23,429.27,29,1
-9.31,211.07,12,1
