rotatablebondCount,acceptorCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,label
9,19,43,44,57.39,4,1
2,8,6,13,18.54,0,1
2,8,13,19,24.67,3,1
2,6,29,28,41.99,4,1
0,4,4,10,13.01,2,1
1,4,13,22,33.59,1,1
8,3,23,18,29.51,0,1
0,1,17,11,18.5,3,1
1,9,8,15,19.82,1,1
5,3,13,9,14.14,0,1
11,3,29,31,57.09,0,1
3,1,23,21,35.25,1,1
10,8,25,28,42.12,1,1
6,5,22,25,41.11,1,1
2,1,13,10,17.37,0,1
11,9,35,35,53.55,1,1
6,4,19,22,32.49,1,1
0,3,17,20,31.69,2,1
8,12,21,37,43.44,2,1
8,11,36,35,52.45,2,1
7,7,27,30,47.2,2,1
8,5,31,34,52.59,2,1
8,5,22,19,29.19,0,1
2,4,19,26,39.68,2,1
5,4,23,21,32.11,2,1
8,4,16,13,19.01,0,1
3,4,24,27,42.62,2,1
4,4,12,14,21.91,0,1
4,2,25,23,37.23,2,1
2,6,29,28,39.88,4,1
7,10,14,29,36.54,0,1
10,10,29,39,56.82,2,1
7,9,21,23,37.25,1,1
5,3,28,21,34.4,1,1
5,5,41,34,52.31,6,1
4,3,18,16,26.96,0,1
6,7,31,28,42.01,4,1
8,6,37,33,52.58,2,1
0,3,10,14,18.45,2,1
7,7,20,33,49.45,1,1
3,5,15,14,21.85,1,1
4,4,15,10,15.31,0,1
4,7,14,26,37.0,1,1
11,7,34,33,50.16,1,1
1,5,14,21,31.65,1,1
7,5,19,18,28.92,0,1
5,3,19,19,31.74,1,1
4,4,19,21,36.07,1,1
0,4,4,11,15.58,1,1
6,6,16,17,26.14,1,1
3,7,18,24,32.76,2,1
9,9,29,32,47.38,1,1
6,4,21,24,35.71,1,1
8,14,69,52,77.92,3,1
5,4,15,16,24.91,0,1
9,3,28,29,48.25,0,1
4,3,23,22,36.58,1,1
2,7,10,22,30.55,1,1
1,5,9,14,22.27,1,1
4,2,17,25,39.72,1,1
0,5,19,23,36.11,2,1
1,4,21,22,32.64,4,1
