donorCount,rotatablebondCount,hydrogenCount,label
14,9,43,1
2,2,6,1
4,2,13,1
3,2,29,1
2,0,4,1
0,1,13,1
2,8,23,1
1,0,17,1
4,1,8,1
2,5,13,1
0,11,29,1
0,3,23,1
2,10,25,1
2,6,22,1
1,2,13,1
3,11,35,1
0,6,19,1
2,0,17,1
2,8,21,1
5,8,36,1
1,7,27,1
1,8,31,1
3,8,22,1
1,2,19,1
1,5,23,1
2,8,16,1
0,3,24,1
2,4,12,1
0,4,25,1
3,2,29,1
2,7,14,1
2,10,29,1
2,7,21,1
1,5,28,1
2,5,41,1
1,4,18,1
0,6,31,1
2,8,37,1
0,0,10,1
2,7,20,1
2,3,15,1
1,4,15,1
1,4,14,1
3,11,34,1
1,1,14,1
1,7,19,1
0,5,19,1
0,4,19,1
1,0,4,1
3,6,16,1
2,3,18,1
2,9,29,1
0,6,21,1
4,8,69,1
0,5,15,1
0,9,28,1
0,4,23,1
1,2,10,1
2,1,9,1
0,4,17,1
1,0,19,1
1,1,21,1
0,0,21,1
5,4,29,1
0,11,38,1
1,4,22,1
1,2,30,1
3,2,29,1
0,1,23,1
0,1,13,1
1,0,7,1
1,10,29,1
2,4,11,1
2,3,17,1
2,3,18,1
2,4,20,1
3,4,37,1
0,7,26,1
0,6,21,1
4,12,40,1
4,7,23,1
2,9,27,1
2,5,24,1
3,2,11,1
2,3,16,1
1,4,25,1
6,5,29,1
1,6,22,1
1,6,19,1
1,2,16,1
2,10,28,1
1,0,15,1
4,3,13,1
3,4,35,1
5,7,67,1
2,0,24,1
1,0,22,1
1,6,12,1
1,0,6,1
2,1,24,1
1,3,10,1
3,5,32,1
1,6,19,1
0,7,21,1
0,6,28,1
3,10,39,1
2,9,20,1
1,5,12,1
2,0,3,1
1,7,18,1
2,0,29,1
1,7,26,1
0,6,23,1
1,3,13,1
2,15,47,1
2,3,17,1
2,4,22,1
3,2,11,1
1,6,22,1
3,7,28,1
1,2,24,1
2,3,22,1
2,2,8,1
2,3,22,1
1,6,23,1
3,2,30,1
1,0,19,1
1,4,18,1
3,9,32,1
2,7,31,1
0,4,24,1
4,12,47,1
