MSA,NumberofCarbons,PSA,donorCount,acceptorCount,atomCount,label
738.94,25,309.14,14,19,87,1
229.89,4,125.64,2,8,19,1
303.12,10,113.52,4,8,32,1
488.72,22,94.83,3,6,57,1
154.04,5,74.69,2,4,14,1
362.76,17,43.07,0,4,35,1
368.66,15,29.46,2,3,41,1
213.77,10,26.0,1,1,28,1
222.4,6,47.89,4,9,23,1
199.65,6,37.3,2,3,22,1
626.9,25,53.03,0,3,60,1
398.42,20,13.59,0,1,44,1
506.6,20,61.83,2,8,53,1
465.17,20,46.71,2,5,47,1
211.9,9,26.0,1,1,23,1
659.78,25,111.87,3,9,70,1
413.11,17,78.29,0,4,41,1
340.94,17,54.05,2,3,37,1
600.47,23,93.59,2,12,58,1
644.02,23,122.84,5,11,71,1
557.51,23,53.48,1,7,57,1
610.86,28,40.64,1,5,65,1
379.84,14,46.53,3,5,41,1
424.46,22,54.37,1,4,45,1
387.02,17,60.12,1,4,44,1
267.95,9,74.6,2,4,29,1
492.39,22,48.48,0,4,51,1
261.77,10,37.3,2,4,26,1
424.04,21,22.82,0,2,48,1
483.29,22,94.83,3,6,57,1
475.24,18,103.61,2,10,43,1
698.27,27,142.0,2,10,68,1
457.98,12,136.1,2,9,44,1
435.34,18,30.66,1,3,49,1
641.76,29,72.51,2,5,75,1
337.12,13,17.07,1,3,34,1
520.61,21,90.34,0,7,59,1
613.35,26,80.35,2,6,70,1
251.58,8,61.82,0,3,24,1
538.79,24,118.81,2,7,53,1
276.49,9,106.76,2,5,29,1
232.7,6,26.3,1,4,25,1
435.24,17,59.29,1,7,40,1
623.17,26,99.88,3,7,67,1
326.5,16,48.19,1,5,35,1
366.12,13,39.89,1,5,37,1
376.49,16,26.48,0,3,38,1
404.24,17,52.48,0,4,40,1
176.79,7,26.3,1,4,15,1
332.92,10,90.13,3,6,33,1
385.48,17,71.2,2,7,42,1
589.85,23,58.35,2,9,61,1
440.51,20,46.61,0,4,45,1
1058.99,38,193.26,4,14,121,1
324.13,12,35.53,0,4,31,1
553.27,26,22.82,0,3,57,1
430.36,19,27.18,0,3,45,1
349.06,15,75.25,1,7,32,1
253.28,9,12.36,2,5,23,1
434.74,22,17.82,0,2,42,1
407.04,18,39.54,1,5,42,1
369.57,18,52.28,1,4,43,1
379.27,21,13.59,0,1,43,1
619.58,27,159.82,5,11,67,1
480.88,16,0.0,0,2,56,1
385.47,18,13.59,1,2,42,1
420.5,22,20.23,1,1,53,1
482.97,22,94.83,3,6,57,1
363.78,17,22.82,0,2,42,1
337.84,16,32.67,0,4,33,1
242.08,8,54.88,1,5,21,1
503.41,20,52.78,1,5,54,1
335.35,14,37.3,2,5,30,1
510.26,19,136.36,2,10,47,1
357.65,18,40.46,2,2,38,1
378.3,18,40.46,2,2,40,1
720.79,33,137.23,3,9,80,1
536.94,22,94.73,0,7,55,1
378.7,17,22.82,0,2,40,1
662.74,24,172.2,4,12,76,1
421.96,18,60.69,4,4,45,1
571.96,19,107.86,2,8,56,1
527.36,22,85.87,2,6,54,1
211.32,8,40.46,3,3,22,1
369.94,10,113.28,2,7,35,1
556.82,23,106.95,1,10,58,1
629.58,27,180.05,6,12,68,1
471.68,22,66.8,1,5,50,1
393.03,18,37.47,1,3,40,1
262.46,10,20.23,1,2,28,1
507.31,20,94.26,2,7,55,1
312.61,16,25.95,1,3,34,1
250.21,9,60.69,4,4,26,1
704.18,33,137.23,3,9,78,1
1028.19,37,204.26,5,14,118,1
370.28,18,40.46,2,2,44,1
360.64,18,37.3,1,2,42,1
339.2,13,63.6,1,6,31,1
88.05,2,20.23,1,1,9,1
394.99,20,40.46,2,2,46,1
285.83,9,89.41,1,6,26,1
684.21,29,160.83,3,13,74,1
447.12,18,52.6,1,7,44,1
469.56,20,52.6,0,5,46,1
480.4,22,33.9,0,3,53,1
697.62,32,91.35,3,5,76,1
480.75,17,35.53,2,11,48,1
358.03,13,81.65,1,7,34,1
145.1,4,64.07,2,4,12,1
400.0,17,9.23,1,5,40,1
443.91,20,57.53,2,4,53,1
539.87,22,86.3,1,8,56,1
490.9,21,46.26,0,6,50,1
311.98,15,37.3,1,3,31,1
791.81,32,76.74,2,8,88,1
252.16,9,37.3,2,3,29,1
452.62,19,80.43,2,8,49,1
291.42,9,84.58,3,8,29,1
378.44,15,46.53,1,3,40,1
603.68,23,85.89,3,9,61,1
416.93,18,48.48,1,4,47,1
436.04,19,71.2,2,7,48,1
246.42,8,24.72,2,6,22,1
303.1,10,25.95,2,4,36,1
475.96,21,50.89,1,5,49,1
467.79,21,94.83,3,5,56,1
349.76,17,60.12,1,4,40,1
307.51,13,37.3,1,2,33,1
484.47,22,77.76,3,4,58,1
650.27,29,82.92,2,8,68,1
411.57,19,27.18,0,2,45,1
830.56,36,114.67,4,9,92,1
430.64,19,68.53,1,5,41,1
562.48,25,87.13,1,6,60,1
173.45,6,41.99,2,4,17,1
299.02,11,60.69,4,4,32,1
866.67,35,125.4,0,11,87,1
311.59,13,17.07,1,3,32,1
643.15,26,89.76,0,9,64,1
327.29,16,54.37,1,3,33,1
263.53,8,89.65,2,6,26,1
272.23,9,38.67,2,7,23,1
422.14,16,87.08,1,7,39,1
614.83,26,86.99,3,5,71,1
384.3,19,33.82,1,2,46,1
235.5,8,47.73,1,4,26,1
552.92,26,74.68,1,5,60,1
244.14,9,77.76,4,5,25,1
357.3,17,33.82,1,2,42,1
363.03,14,30.66,1,3,39,1
247.18,6,32.3,0,6,18,1
452.73,20,60.04,2,4,51,1
639.89,29,64.48,1,5,67,1
339.8,15,49.66,2,6,31,1
537.65,22,90.86,2,6,53,1
540.51,24,72.83,1,5,65,1
402.53,18,48.77,0,4,41,1
540.51,21,105.26,4,8,60,1
394.42,20,12.0,1,1,44,1
475.72,15,103.7,5,8,52,1
334.61,16,46.18,1,4,33,1
276.03,11,12.0,1,1,33,1
472.47,22,54.37,1,3,57,1
321.89,13,42.09,2,3,33,1
275.02,12,26.0,1,1,34,1
498.73,21,88.76,0,4,52,1
467.23,21,30.66,0,2,50,1
248.9,5,112.85,1,8,22,1
530.43,20,149.5,5,13,55,1
303.93,11,38.69,2,4,32,1
327.19,14,26.3,1,3,36,1
471.12,21,55.82,2,4,53,1
409.57,14,39.89,2,6,42,1
452.95,18,27.05,0,6,39,1
376.64,18,30.18,0,4,36,1
569.39,29,50.89,1,3,67,1
268.6,12,67.89,1,4,25,1
278.03,9,75.49,3,5,30,1
564.29,22,83.83,2,5,65,1
340.19,17,63.28,2,4,40,1
295.91,12,71.14,1,5,29,1
392.25,19,80.35,2,5,45,1
417.38,20,80.35,2,5,48,1
453.7,17,71.9,2,4,48,1
626.62,25,76.23,0,6,65,1
769.97,32,113.49,4,8,85,1
614.55,26,112.01,1,9,64,1
237.23,10,26.48,0,2,26,1
425.46,17,98.42,1,8,43,1
537.42,21,107.65,1,9,56,1
498.62,20,98.42,1,8,52,1
449.29,18,98.42,1,8,46,1
388.99,20,37.3,1,2,48,1
397.91,16,71.84,2,7,41,1
413.65,21,37.3,1,2,51,1
371.98,19,12.0,1,1,41,1
746.45,31,158.05,5,13,80,1
441.95,18,94.66,1,8,46,1
399.37,17,67.78,1,5,42,1
450.09,21,60.12,1,4,48,1
483.01,19,149.13,3,8,51,1
445.31,17,96.31,1,5,43,1
392.5,18,48.48,0,3,43,1
405.5,18,22.82,0,2,43,1
705.09,29,206.6,8,12,85,1
431.12,19,46.53,1,3,52,1
393.68,16,32.59,2,3,43,1
1043.16,47,209.26,4,15,113,1
461.3,20,49.81,0,5,46,1
415.54,19,27.69,1,5,44,1
316.91,11,100.1,4,7,35,1
430.45,19,54.68,1,2,48,1
435.53,19,12.0,1,1,55,1
509.92,21,86.3,1,6,53,1
379.49,17,46.18,2,4,40,1
238.74,9,40.46,3,3,25,1
311.01,15,46.17,2,4,31,1
384.48,15,53.48,1,5,41,1
357.19,15,105.59,2,7,40,1
288.32,11,44.12,0,3,31,1
595.8,28,49.73,1,5,63,1
353.97,14,45.25,3,3,38,1
444.65,19,93.59,1,6,45,1
139.65,4,24.1,2,2,16,1
442.7,19,77.45,1,7,47,1
368.63,15,106.3,2,7,36,1
270.58,10,37.66,2,4,31,1
555.4,23,124.29,4,7,66,1
479.31,19,101.63,1,8,49,1
447.61,21,94.83,3,5,54,1
334.04,13,17.07,2,3,36,1
351.92,13,30.66,2,4,38,1
347.2,13,39.89,1,4,37,1
475.15,20,66.07,0,5,49,1
428.92,19,33.82,1,2,50,1
433.53,21,34.14,0,2,53,1
