atomCount,hydrogenCount,rotatablebondCount,NHA,molecularpolarizability,donorCount,label
87,43,9,44,57.39,14,1
19,6,2,13,18.54,2,1
32,13,2,19,24.67,4,1
57,29,2,28,41.99,3,1
14,4,0,10,13.01,2,1
35,13,1,22,33.59,0,1
41,23,8,18,29.51,2,1
28,17,0,11,18.5,1,1
23,8,1,15,19.82,4,1
22,13,5,9,14.14,2,1
60,29,11,31,57.09,0,1
44,23,3,21,35.25,0,1
53,25,10,28,42.12,2,1
47,22,6,25,41.11,2,1
23,13,2,10,17.37,1,1
70,35,11,35,53.55,3,1
41,19,6,22,32.49,0,1
37,17,0,20,31.69,2,1
58,21,8,37,43.44,2,1
71,36,8,35,52.45,5,1
57,27,7,30,47.2,1,1
65,31,8,34,52.59,1,1
41,22,8,19,29.19,3,1
45,19,2,26,39.68,1,1
44,23,5,21,32.11,1,1
29,16,8,13,19.01,2,1
51,24,3,27,42.62,0,1
26,12,4,14,21.91,2,1
48,25,4,23,37.23,0,1
57,29,2,28,39.88,3,1
43,14,7,29,36.54,2,1
68,29,10,39,56.82,2,1
44,21,7,23,37.25,2,1
49,28,5,21,34.4,1,1
75,41,5,34,52.31,2,1
34,18,4,16,26.96,1,1
59,31,6,28,42.01,0,1
70,37,8,33,52.58,2,1
24,10,0,14,18.45,0,1
53,20,7,33,49.45,2,1
29,15,3,14,21.85,2,1
25,15,4,10,15.31,1,1
40,14,4,26,37.0,1,1
67,34,11,33,50.16,3,1
35,14,1,21,31.65,1,1
37,19,7,18,28.92,1,1
38,19,5,19,31.74,0,1
40,19,4,21,36.07,0,1
15,4,0,11,15.58,1,1
33,16,6,17,26.14,3,1
42,18,3,24,32.76,2,1
61,29,9,32,47.38,2,1
45,21,6,24,35.71,0,1
121,69,8,52,77.92,4,1
31,15,5,16,24.91,0,1
57,28,9,29,48.25,0,1
45,23,4,22,36.58,0,1
32,10,2,22,30.55,1,1
23,9,1,14,22.27,2,1
42,17,4,25,39.72,0,1
42,19,0,23,36.11,1,1
43,21,1,22,32.64,1,1
43,21,0,22,36.45,0,1
67,29,4,38,52.29,5,1
56,38,11,18,33.18,0,1
42,22,4,20,32.87,1,1
53,30,2,23,37.41,1,1
57,29,2,28,39.88,3,1
42,23,1,19,30.48,0,1
33,13,1,20,30.67,0,1
21,7,0,14,21.59,1,1
54,29,10,25,40.92,1,1
30,11,4,19,29.59,2,1
47,17,3,30,44.99,2,1
38,18,3,20,31.95,2,1
40,20,4,20,32.18,2,1
80,37,4,43,63.11,3,1
55,26,7,29,45.07,0,1
40,21,6,19,31.32,0,1
76,40,12,36,51.8,4,1
45,23,7,22,34.25,4,1
56,27,9,29,46.15,2,1
54,24,5,30,44.67,2,1
22,11,2,11,16.73,3,1
35,16,3,19,31.33,2,1
58,25,4,33,47.23,1,1
68,29,5,39,52.96,6,1
50,22,6,28,40.56,1,1
40,19,6,21,35.72,1,1
28,16,2,12,19.77,1,1
55,28,10,27,39.92,2,1
34,15,0,19,28.65,1,1
26,13,3,13,19.27,4,1
78,35,4,43,63.02,3,1
118,67,7,51,76.02,5,1
44,24,0,20,31.34,2,1
42,22,0,20,30.93,1,1
31,12,6,19,28.76,1,1
9,6,0,3,5.04,1,1
46,24,1,22,33.93,2,1
26,10,3,16,25.57,1,1
74,32,5,42,56.06,3,1
44,19,6,25,38.35,1,1
46,21,7,25,38.46,0,1
53,28,6,25,40.4,0,1
76,39,10,37,58.05,3,1
48,20,9,28,33.11,2,1
34,12,5,22,27.14,1,1
12,3,0,9,9.82,2,1
40,18,7,22,30.41,1,1
53,29,0,24,35.56,2,1
56,26,7,30,43.85,1,1
50,23,6,27,41.04,0,1
31,13,3,18,27.19,1,1
88,47,15,41,59.41,2,1
29,17,3,12,18.93,2,1
49,22,4,27,37.16,2,1
29,11,2,18,20.69,3,1
40,22,6,18,28.26,1,1
61,28,7,33,50.47,3,1
47,24,2,23,36.34,1,1
48,22,3,26,36.35,2,1
22,8,2,14,21.96,2,1
36,22,3,14,22.94,2,1
49,23,6,26,39.78,1,1
56,30,2,26,38.55,3,1
40,19,0,21,30.57,1,1
33,18,4,15,23.92,1,1
58,32,9,26,40.28,3,1
68,31,7,37,57.59,2,1
45,24,4,21,34.72,0,1
92,47,12,45,69.04,4,1
41,16,4,25,37.98,1,1
60,28,7,32,49.3,1,1
17,7,1,10,14.22,2,1
32,17,4,15,22.95,4,1
87,38,11,49,72.13,0,1
32,16,2,16,26.15,1,1
64,28,7,36,53.74,0,1
33,14,4,19,28.34,1,1
26,11,2,15,21.49,2,1
23,7,1,16,25.02,2,1
39,14,6,25,34.32,1,1
71,40,14,31,48.87,3,1
46,25,2,21,33.87,1,1
26,14,3,12,17.45,1,1
60,29,5,31,46.19,1,1
25,11,3,14,19.44,4,1
42,23,0,19,30.42,1,1
39,22,5,17,27.75,1,1
18,6,0,12,22.46,0,1
51,26,3,25,39.96,2,1
67,33,7,34,54.4,1,1
31,10,1,21,31.51,2,1
53,23,8,30,46.49,2,1
65,36,7,29,44.68,1,1
41,18,0,23,35.69,0,1
60,31,12,29,43.22,4,1
44,23,4,21,34.66,1,1
52,29,8,23,33.71,5,1
33,13,1,20,30.36,1,1
33,21,1,12,21.09,1,1
57,32,1,25,39.12,1,1
33,16,4,17,26.69,2,1
34,21,0,13,22.2,1,1
52,26,4,26,44.39,0,1
50,27,7,23,38.31,0,1
22,8,1,14,21.17,1,1
55,22,9,33,43.98,5,1
32,17,4,15,23.06,2,1
36,19,4,17,26.7,1,1
53,27,4,26,41.19,2,1
42,22,7,20,31.91,2,1
39,14,6,25,40.35,0,1
36,13,1,23,34.21,0,1
67,35,3,32,50.2,1,1
25,9,2,16,22.62,1,1
30,15,1,15,21.13,3,1
65,38,14,27,42.63,2,1
40,19,0,21,30.74,2,1
29,12,2,17,23.64,1,1
45,21,2,24,34.64,2,1
48,23,2,25,36.0,2,1
48,25,4,23,38.72,2,1
65,32,10,33,50.92,0,1
85,45,10,40,63.82,4,1
64,29,11,35,50.55,1,1
26,14,1,12,19.58,0,1
43,18,6,25,33.98,1,1
56,26,10,30,42.03,1,1
52,24,8,28,39.47,1,1
46,20,7,26,35.81,1,1
48,26,1,22,34.14,1,1
41,18,3,23,31.66,2,1
51,28,2,23,35.98,1,1
41,21,3,20,33.41,1,1
80,36,9,44,61.39,5,1
46,20,2,26,35.34,1,1
42,20,0,22,34.49,1,1
48,23,5,25,38.58,1,1
51,24,5,27,42.41,3,1
43,19,5,24,37.53,1,1
43,21,2,22,33.15,0,1
43,23,6,20,33.09,0,1
85,44,4,41,57.02,8,1
52,30,0,22,34.33,1,1
43,24,3,19,30.28,2,1
113,51,14,62,87.66,4,1
46,21,6,25,38.51,0,1
44,20,4,24,34.52,1,1
35,16,2,19,25.07,4,1
48,26,4,22,38.85,1,1
55,35,4,20,35.12,1,1
53,26,6,27,44.85,1,1
40,19,4,21,32.01,2,1
25,13,3,12,18.63,3,1
31,12,2,19,27.2,2,1
41,21,2,20,30.04,1,1
40,18,1,22,28.66,2,1
31,16,3,15,21.99,0,1
63,29,7,34,49.66,1,1
38,20,6,18,29.44,3,1
45,20,7,25,38.2,1,1
16,10,0,6,10.43,2,1
47,21,2,26,38.19,1,1
36,13,2,23,33.16,2,1
31,17,3,14,23.83,2,1
66,36,11,30,44.77,4,1
49,21,4,28,39.83,1,1
54,28,2,26,38.3,3,1
36,20,5,16,25.98,2,1
38,21,6,17,27.32,2,1
37,20,7,17,26.85,1,1
49,24,4,25,42.4,0,1
50,29,5,21,34.99,1,1
53,30,1,23,36.67,0,1
40,20,4,20,34.19,0,1
40,20,3,20,34.19,0,1
52,27,11,25,39.56,2,1
40,21,6,19,31.78,2,1
27,15,3,12,19.86,2,1
30,13,2,17,27.48,2,1
52,25,5,27,42.88,1,1
48,24,4,24,38.46,1,1
61,27,7,34,54.76,2,1
54,22,9,32,44.55,4,1
40,21,4,19,29.08,1,1
43,22,9,21,32.09,2,1
46,23,6,23,35.68,1,1
86,42,10,44,63.65,1,1
57,27,4,30,44.02,0,1
98,48,18,50,77.88,4,1
39,19,5,20,31.78,1,1
43,24,7,19,30.79,1,1
44,19,7,25,37.68,1,1
67,37,16,30,47.88,4,1
99,50,13,49,75.01,5,1
43,21,5,22,32.09,1,1
