NumberofCarbons,wienerindex,MSA,label
25,7413,738.94,1
4,257,229.89,1
10,657,303.12,1
22,1682,488.72,1
5,105,154.04,1
17,926,362.76,1
15,711,368.66,1
10,124,213.77,1
6,368,222.4,1
6,114,199.65,1
25,2897,626.9,1
20,882,398.42,1
20,1836,506.6,1
20,1580,465.17,1
9,126,211.9,1
25,3813,659.78,1
17,1015,413.11,1
17,680,340.94,1
23,4275,600.47,1
23,3704,644.02,1
23,3204,557.51,1
28,4090,610.86,1
14,890,379.84,1
22,1705,424.46,1
17,959,387.02,1
9,344,267.95,1
22,1795,492.39,1
10,318,261.77,1
21,1161,424.04,1
22,1670,483.29,1
18,2378,475.24,1
27,4854,698.27,1
12,1142,457.98,1
18,958,435.34,1
29,2624,641.76,1
13,454,337.12,1
21,2514,520.61,1
26,3064,613.35,1
8,258,251.58,1
24,3326,538.79,1
9,297,276.49,1
6,139,232.7,1
17,1654,435.24,1
26,3124,623.17,1
16,828,326.5,1
13,700,366.12,1
16,718,376.49,1
17,896,404.24,1
7,143,176.79,1
10,664,332.92,1
17,1234,385.48,1
23,3560,589.85,1
20,1298,440.51,1
38,9201,1058.99,1
12,468,324.13,1
26,2488,553.27,1
19,995,430.36,1
15,959,349.06,1
9,301,253.28,1
22,1225,434.74,1
18,1082,407.04,1
18,824,369.57,1
21,928,379.27,1
27,4100,619.58,1
16,883,480.88,1
18,759,385.47,1
22,1004,420.5,1
22,1670,482.97,1
17,602,363.78,1
16,726,337.84,1
8,268,242.08,1
20,1654,503.41,1
14,706,335.35,1
19,2402,510.26,1
18,814,357.65,1
18,814,378.3,1
33,6191,720.79,1
22,2077,536.94,1
17,736,378.7,1
24,3652,662.74,1
18,1346,421.96,1
19,3074,571.96,1
22,2853,527.36,1
8,160,211.32,1
10,634,369.94,1
23,3556,556.82,1
27,4392,629.58,1
22,2452,471.68,1
18,931,393.03,1
10,190,262.46,1
20,1982,507.31,1
16,587,312.61,1
9,256,250.21,1
33,6191,704.18,1
37,8842,1028.19,1
18,724,370.28,1
18,724,360.64,1
13,744,339.2,1
2,4,88.05,1
20,941,394.99,1
9,442,285.83,1
29,5464,684.21,1
18,1300,447.12,1
20,1716,469.56,1
22,1680,480.4,1
32,5214,697.62,1
17,2232,480.75,1
13,1000,358.03,1
4,84,145.1,1
17,1148,400.0,1
20,1083,443.91,1
22,2618,539.87,1
21,1747,490.9,1
15,626,311.98,1
32,7474,791.81,1
9,193,252.16,1
19,1627,452.62,1
9,560,291.42,1
15,705,378.44,1
23,3998,603.68,1
18,1195,416.93,1
19,1499,436.04,1
8,331,246.42,1
10,352,303.1,1
21,2035,475.96,1
21,1425,467.79,1
17,712,349.76,1
13,404,307.51,1
22,2018,484.47,1
29,5324,650.27,1
19,882,411.57,1
36,7788,830.56,1
19,1424,430.64,1
25,3125,562.48,1
6,121,173.45,1
11,400,299.02,1
35,12096,866.67,1
13,388,311.59,1
26,4692,643.15,1
16,724,327.29,1
8,369,263.53,1
9,417,272.23,1
16,1631,422.14,1
26,3531,614.83,1
19,794,384.3,1
8,190,235.5,1
26,2806,552.92,1
9,321,244.14,1
17,578,357.3,1
14,556,363.03,1
6,174,247.18,1
20,1442,452.73,1
29,3458,639.89,1
15,819,339.8,1
22,2665,537.65,1
24,2246,540.51,1
18,1075,402.53,1
21,2362,540.51,1
20,810,394.42,1
15,1180,475.72,1
16,702,334.61,1
11,161,276.03,1
22,1276,472.47,1
13,561,321.89,1
12,192,275.02,1
21,1604,498.73,1
21,1044,467.23,1
5,304,248.9,1
20,3832,530.43,1
11,358,303.93,1
14,498,327.19,1
21,1586,471.12,1
14,902,409.57,1
18,1547,452.95,1
18,1035,376.64,1
29,2590,569.39,1
12,425,268.6,1
9,358,278.03,1
22,2331,564.29,1
17,712,340.19,1
12,470,295.91,1
19,1047,392.25,1
20,1189,417.38,1
17,1266,453.7,1
25,4032,626.62,1
32,5398,769.97,1
26,3884,614.55,1
10,191,237.23,1
17,1280,425.46,1
21,2290,537.42,1
20,1814,498.62,1
18,1491,449.29,1
20,941,388.99,1
16,1116,397.91,1
21,1053,413.65,1
19,759,371.98,1
31,7671,746.45,1
18,1484,441.95,1
17,958,399.37,1
21,1448,450.09,1
19,1905,483.01,1
17,1419,445.31,1
18,997,392.5,1
18,825,405.5,1
29,5312,705.09,1
19,907,431.12,1
16,681,393.68,1
47,14767,1043.16,1
20,1534,461.3,1
19,1445,415.54,1
11,670,316.91,1
19,945,430.45,1
19,802,435.53,1
21,2000,509.92,1
17,911,379.49,1
9,206,238.74,1
15,617,311.01,1
15,760,384.48,1
15,787,357.19,1
11,367,288.32,1
28,3961,595.8,1
14,687,353.97,1
19,1917,444.65,1
4,27,139.65,1
19,1540,442.7,1
15,1116,368.63,1
10,318,270.58,1
23,2600,555.4,1
19,2195,479.31,1
21,1425,447.61,1
13,488,334.04,1
13,618,351.92,1
13,618,347.2,1
20,1544,475.15,1
19,903,428.92,1
21,1052,433.53,1
17,789,385.57,1
17,744,386.56,1
21,1786,485.01,1
16,792,371.3,1
10,202,250.76,1
12,498,310.79,1
21,1956,492.38,1
20,1258,417.9,1
28,3843,592.12,1
21,3432,544.33,1
16,735,361.2,1
13,1227,431.16,1
19,1166,431.24,1
33,6944,785.27,1
23,2793,529.61,1
37,10769,902.15,1
15,871,376.41,1
16,759,390.54,1
18,1883,438.43,1
25,3802,606.83,1
38,9512,886.39,1
17,1081,379.6,1
17,770,374.69,1
22,3086,617.7,1
12,706,372.39,1
19,1781,474.76,1
24,1905,524.92,1
10,433,247.8,1
10,535,302.72,1
6,152,203.49,1
15,1251,440.91,1
14,859,406.53,1
13,326,264.66,1
44,12629,1076.29,1
26,2141,537.32,1
43,14388,1110.24,1
19,2195,494.84,1
12,468,329.78,1
32,4424,685.48,1
19,928,378.08,1
19,802,394.82,1
7,211,223.75,1
21,1444,484.9,1
20,1596,475.79,1
14,533,318.03,1
31,6752,736.37,1
14,1014,405.93,1
12,685,360.52,1
12,948,419.68,1
16,670,396.52,1
24,2772,551.78,1
9,119,191.46,1
26,4909,633.39,1
19,2003,471.04,1
17,1035,381.69,1
21,2075,505.14,1
20,1039,452.26,1
22,1584,464.35,1
14,946,388.82,1
19,1952,491.01,1
16,742,379.38,1
19,953,391.55,1
24,3093,560.07,1
37,6292,802.84,1
8,131,234.15,1
23,3398,642.54,1
46,29219,1292.76,1
17,792,421.02,1
27,3698,676.02,1
46,11658,1050.83,1
46,12104,1046.43,1
19,1092,374.96,1
10,701,308.01,1
21,2344,483.28,1
19,1137,406.26,1
15,1828,474.32,0
21,2710,499.07,0
10,2115,463.3,0
51,20679,1250.74,0
40,17999,1130.93,0
48,28494,1302.64,0
12,1110,397.83,0
10,2671,514.78,0
10,2671,516.68,0
11,981,366.51,0
24,4130,729.23,0
24,3910,712.49,0
50,28655,1232.91,0
8,354,271.13,0
15,1766,507.85,0
22,3020,605.16,0
17,2126,559.79,0
18,2493,557.78,0
18,2080,559.88,0
14,1506,459.74,0
21,2719,581.76,0
17,1880,512.28,0
15,1766,496.81,0
16,1910,519.71,0
21,2972,594.49,0
16,2102,523.81,0
17,2321,548.73,0
17,1933,535.97,0
18,2126,559.19,0
18,2102,560.61,0
40,17999,1132.53,0
23,4380,654.06,0
8,354,271.34,0
34,18551,1046.45,0
27,4606,695.25,0
12,1017,393.22,0
13,1131,390.33,0
12,1180,407.52,0
13,1131,412.52,0
11,983,433.59,0
13,1270,422.47,0
11,988,389.12,0
9,750,350.12,0
6,1221,416.97,0
30,6630,843.54,0
10,2891,519.3,0
12,1858,464.39,0
39,21906,1141.37,0
5,178,202.36,0
23,4541,620.55,0
30,5234,670.11,0
12,946,369.52,0
39,9364,872.46,0
23,4380,652.63,0
33,8646,844.16,0
10,634,369.94,0
46,23409,1242.44,0
20,4768,626.71,0
9,414,259.21,0
32,5319,703.7,0
41,10868,940.6,0
23,2494,502.5,0
10,2115,458.62,0
27,2677,602.03,0
10,1230,388.84,0
20,4127,535.82,0
44,16308,1087.57,0
11,949,400.42,0
33,4837,699.69,0
9,1460,392.86,0
12,567,297.38,0
12,862,362.8,0
41,20065,1061.76,0
36,15546,1005.87,0
18,842,363.67,0
6,262,233.07,0
23,3502,633.6,0
17,2580,493.86,0
32,8198,908.22,0
32,7856,860.13,0
27,4935,756.28,0
31,6784,754.14,0
20,4004,621.05,0
10,2316,464.66,0
12,578,330.41,0
12,825,388.03,0
48,31808,1389.21,0
26,6811,718.25,0
29,8360,835.15,0
24,2034,492.16,0
25,4668,589.6,0
41,22054,1146.1,0
10,568,286.21,0
10,657,305.53,0
19,1550,398.81,0
32,5491,771.24,0
20,4915,684.87,0
5,402,267.93,0
12,1011,383.51,0
27,11002,850.18,0
51,38940,1422.87,0
39,13772,1030.33,0
32,8198,906.83,0
43,21075,1153.71,0
12,1134,392.77,0
17,4060,651.35,0
27,5568,691.54,0
36,9108,913.56,0
29,6554,795.87,0
59,54834,1583.3,0
58,43261,1467.0,0
49,26200,1300.15,0
56,35320,1416.93,0
10,1925,446.69,0
18,1313,481.38,0
18,1313,481.33,0
22,4478,708.32,0
8,274,247.22,0
28,4114,599.57,0
38,8805,863.52,0
33,8500,838.81,0
44,15471,1064.65,0
44,15056,1058.12,0
44,15471,1067.06,0
41,7167,781.31,0
38,9512,887.72,0
28,7250,732.09,0
19,1975,465.45,0
71,99224,1828.59,0
38,11058,932.83,0
21,2046,566.52,0
28,8934,824.03,0
45,16391,1074.13,0
24,6676,717.67,0
47,21682,1192.22,0
15,1624,485.23,0
17,2321,542.09,0
23,3413,620.1,0
14,1442,471.47,0
10,3140,530.65,0
22,3391,563.23,0
19,6929,664.96,0
6,752,347.85,0
50,23457,1200.45,0
37,12668,975.88,0
33,9232,865.58,0
31,12110,907.7,0
32,7965,812.28,0
19,802,411.1,0
29,5081,712.84,0
13,1382,432.86,0
25,3644,573.12,0
26,5847,808.34,0
12,1364,407.08,0
27,8549,817.6,0
20,7670,686.58,0
38,10680,921.22,0
38,10680,919.94,0
26,3876,581.58,0
44,24304,1214.98,0
5,272,249.01,0
6,443,284.15,0
10,2891,516.63,0
27,5757,709.3,0
22,2940,562.12,0
26,6188,754.26,0
25,4972,724.08,0
23,3786,608.18,0
6,443,288.48,0
63,83163,1698.87,0
23,4317,617.02,0
32,5842,743.96,0
33,6693,827.27,0
27,2458,593.62,0
12,455,356.32,0
10,445,231.14,0
37,12278,903.44,0
9,859,345.4,0
27,4074,645.03,0
23,1638,509.53,0
11,657,310.59,0
15,1993,475.24,0
19,3634,546.86,0
15,4467,579.88,0
9,1584,402.51,0
41,25091,1144.95,0
14,906,324.13,0
10,753,316.48,0
45,16909,1060.87,0
26,2239,602.82,0
16,874,353.25,0
10,1191,370.78,0
21,3015,676.2,0
18,2456,640.77,0
21,1871,456.57,0
34,6059,763.26,0
8,374,256.12,0
9,1077,354.88,0
9,354,300.91,0
42,12010,925.25,0
14,1845,439.26,0
41,11625,867.2,0
34,6244,723.89,0
22,2446,510.92,0
12,1134,394.53,0
17,3102,539.65,0
10,1330,386.55,0
17,1910,535.22,0
36,14380,996.79,0
10,969,361.1,0
8,354,271.58,0
27,4266,581.64,0
10,3140,537.83,0
20,6178,691.79,0
10,3140,533.28,0
22,2578,495.55,0
21,4925,589.2,0
23,2812,505.09,0
29,10991,889.51,0
10,500,294.82,0
10,492,270.41,0
15,4570,590.12,0
24,3593,622.24,0
13,1952,493.56,0
36,10920,908.66,0
9,859,320.74,0
10,969,348.31,0
20,11110,829.01,0
10,1191,374.39,0
10,657,300.68,0
12,1134,391.88,0
17,2655,547.44,0
12,1952,486.89,0
10,1176,383.93,0
45,23914,1274.23,0
36,18335,1058.6,0
6,1794,489.45,0
9,2976,585.49,0
9,896,330.52,0
9,815,321.87,0
9,896,326.73,0
18,724,346.1,0
10,2891,528.45,0
11,390,261.48,0
19,2125,546.4,0
15,1090,379.79,0
10,1394,425.53,0
10,1394,425.95,0
13,1284,432.26,0
31,14124,934.2,0
31,14124,915.92,0
23,14269,903.96,0
16,1959,457.68,0
11,1099,370.73,0
14,760,360.26,0
12,1264,362.88,0
12,774,352.85,0
19,1709,436.12,0
16,2538,506.19,0
29,5552,757.32,0
22,3578,576.57,0
42,11602,1063.2,0
38,11058,929.61,0
38,11058,927.38,0
11,369,260.13,0
40,17524,1142.78,0
30,4922,663.45,0
49,34036,1385.1,0
32,7479,756.96,0
12,1014,387.83,0
22,2223,533.17,0
12,916,377.49,0
23,2306,483.76,0
28,8541,875.35,0
43,21075,1151.35,0
45,21228,1199.88,0
24,3916,591.82,0
23,5206,693.56,0
52,39201,1480.5,0
24,3634,614.03,0
10,500,296.13,0
32,15704,998.84,0
11,858,369.37,0
12,844,394.72,0
15,828,405.68,0
22,2546,517.48,0
9,504,286.84,0
44,25674,1227.15,0
46,26875,1204.8,0
42,14473,1103.67,0
62,56122,1600.28,0
24,3916,591.16,0
19,2162,498.77,0
34,10287,975.89,0
54,35721,1375.38,0
24,3808,603.24,0
35,10530,970.24,0
28,4754,756.44,0
31,8558,901.52,0
24,4156,617.63,0
23,1985,468.34,0
34,10287,975.14,0
22,3812,596.14,0
10,1099,375.47,0
42,18280,1160.04,0
19,2227,498.47,0
21,3615,571.89,0
40,18524,1182.29,0
14,1601,450.74,0
18,1313,461.63,0
29,6776,801.39,0
31,7512,849.71,0
31,7915,886.99,0
34,10317,943.25,0
36,11301,989.62,0
36,10832,1001.51,0
36,11772,1026.33,0
32,7552,886.24,0
37,12386,1051.04,0
