MSA,PSA,label
738.94,309.14,1
229.89,125.64,1
303.12,113.52,1
488.72,94.83,1
154.04,74.69,1
362.76,43.07,1
368.66,29.46,1
213.77,26.0,1
222.4,47.89,1
199.65,37.3,1
626.9,53.03,1
398.42,13.59,1
506.6,61.83,1
465.17,46.71,1
211.9,26.0,1
659.78,111.87,1
413.11,78.29,1
340.94,54.05,1
600.47,93.59,1
644.02,122.84,1
557.51,53.48,1
610.86,40.64,1
379.84,46.53,1
424.46,54.37,1
387.02,60.12,1
267.95,74.6,1
492.39,48.48,1
261.77,37.3,1
424.04,22.82,1
483.29,94.83,1
475.24,103.61,1
698.27,142.0,1
457.98,136.1,1
435.34,30.66,1
641.76,72.51,1
337.12,17.07,1
520.61,90.34,1
613.35,80.35,1
251.58,61.82,1
538.79,118.81,1
276.49,106.76,1
232.7,26.3,1
435.24,59.29,1
623.17,99.88,1
326.5,48.19,1
366.12,39.89,1
376.49,26.48,1
404.24,52.48,1
176.79,26.3,1
332.92,90.13,1
385.48,71.2,1
589.85,58.35,1
440.51,46.61,1
1058.99,193.26,1
324.13,35.53,1
553.27,22.82,1
430.36,27.18,1
349.06,75.25,1
253.28,12.36,1
434.74,17.82,1
407.04,39.54,1
369.57,52.28,1
379.27,13.59,1
619.58,159.82,1
480.88,0.0,1
385.47,13.59,1
420.5,20.23,1
482.97,94.83,1
363.78,22.82,1
337.84,32.67,1
242.08,54.88,1
503.41,52.78,1
335.35,37.3,1
510.26,136.36,1
357.65,40.46,1
378.3,40.46,1
720.79,137.23,1
536.94,94.73,1
378.7,22.82,1
662.74,172.2,1
421.96,60.69,1
571.96,107.86,1
527.36,85.87,1
211.32,40.46,1
369.94,113.28,1
556.82,106.95,1
629.58,180.05,1
471.68,66.8,1
393.03,37.47,1
262.46,20.23,1
507.31,94.26,1
312.61,25.95,1
250.21,60.69,1
704.18,137.23,1
1028.19,204.26,1
370.28,40.46,1
360.64,37.3,1
339.2,63.6,1
88.05,20.23,1
394.99,40.46,1
285.83,89.41,1
684.21,160.83,1
447.12,52.6,1
469.56,52.6,1
480.4,33.9,1
697.62,91.35,1
480.75,35.53,1
358.03,81.65,1
145.1,64.07,1
400.0,9.23,1
443.91,57.53,1
539.87,86.3,1
490.9,46.26,1
311.98,37.3,1
791.81,76.74,1
252.16,37.3,1
452.62,80.43,1
291.42,84.58,1
378.44,46.53,1
603.68,85.89,1
416.93,48.48,1
436.04,71.2,1
246.42,24.72,1
303.1,25.95,1
475.96,50.89,1
467.79,94.83,1
349.76,60.12,1
307.51,37.3,1
484.47,77.76,1
650.27,82.92,1
411.57,27.18,1
830.56,114.67,1
430.64,68.53,1
562.48,87.13,1
173.45,41.99,1
299.02,60.69,1
866.67,125.4,1
311.59,17.07,1
643.15,89.76,1
327.29,54.37,1
263.53,89.65,1
272.23,38.67,1
422.14,87.08,1
614.83,86.99,1
384.3,33.82,1
235.5,47.73,1
552.92,74.68,1
244.14,77.76,1
357.3,33.82,1
363.03,30.66,1
247.18,32.3,1
452.73,60.04,1
639.89,64.48,1
339.8,49.66,1
537.65,90.86,1
540.51,72.83,1
402.53,48.77,1
540.51,105.26,1
394.42,12.0,1
475.72,103.7,1
334.61,46.18,1
276.03,12.0,1
472.47,54.37,1
321.89,42.09,1
275.02,26.0,1
498.73,88.76,1
467.23,30.66,1
248.9,112.85,1
530.43,149.5,1
303.93,38.69,1
327.19,26.3,1
471.12,55.82,1
409.57,39.89,1
452.95,27.05,1
376.64,30.18,1
569.39,50.89,1
268.6,67.89,1
278.03,75.49,1
564.29,83.83,1
340.19,63.28,1
295.91,71.14,1
392.25,80.35,1
417.38,80.35,1
453.7,71.9,1
626.62,76.23,1
769.97,113.49,1
614.55,112.01,1
237.23,26.48,1
425.46,98.42,1
537.42,107.65,1
498.62,98.42,1
449.29,98.42,1
388.99,37.3,1
397.91,71.84,1
413.65,37.3,1
371.98,12.0,1
746.45,158.05,1
441.95,94.66,1
399.37,67.78,1
450.09,60.12,1
483.01,149.13,1
445.31,96.31,1
392.5,48.48,1
405.5,22.82,1
705.09,206.6,1
431.12,46.53,1
393.68,32.59,1
1043.16,209.26,1
461.3,49.81,1
415.54,27.69,1
316.91,100.1,1
430.45,54.68,1
435.53,12.0,1
509.92,86.3,1
379.49,46.18,1
238.74,40.46,1
311.01,46.17,1
384.48,53.48,1
357.19,105.59,1
288.32,44.12,1
595.8,49.73,1
353.97,45.25,1
444.65,93.59,1
139.65,24.1,1
442.7,77.45,1
368.63,106.3,1
270.58,37.66,1
555.4,124.29,1
479.31,101.63,1
447.61,94.83,1
334.04,17.07,1
351.92,30.66,1
347.2,39.89,1
475.15,66.07,1
428.92,33.82,1
433.53,34.14,1
385.57,52.48,1
386.56,52.48,1
